Data Series,2026 Feb ,2026 Jan ,2025 Dec ,2025 Nov ,2025 Oct ,2025 Sep ,2025 Aug ,2025 Jul ,2025 Jun ,2025 May ,2025 Apr ,2025 Mar ,2025 Feb ,2025 Jan ,2024 Dec ,2024 Nov ,2024 Oct ,2024 Sep ,2024 Aug ,2024 Jul ,2024 Jun ,2024 May ,2024 Apr ,2024 Mar ,2024 Feb ,2024 Jan ,2023 Dec ,2023 Nov ,2023 Oct ,2023 Sep ,2023 Aug ,2023 Jul ,2023 Jun ,2023 May ,2023 Apr ,2023 Mar ,2023 Feb ,2023 Jan ,2022 Dec ,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan ,2011 Dec ,2011 Nov ,2011 Oct ,2011 Sep ,2011 Aug ,2011 Jul ,2011 Jun ,2011 May ,2011 Apr ,2011 Mar ,2011 Feb ,2011 Jan ,2010 Dec ,2010 Nov ,2010 Oct ,2010 Sep ,2010 Aug ,2010 Jul ,2010 Jun ,2010 May ,2010 Apr ,2010 Mar ,2010 Feb ,2010 Jan ,2009 Dec ,2009 Nov ,2009 Oct ,2009 Sep ,2009 Aug ,2009 Jul ,2009 Jun ,2009 May ,2009 Apr ,2009 Mar ,2009 Feb ,2009 Jan ,2008 Dec ,2008 Nov ,2008 Oct ,2008 Sep ,2008 Aug ,2008 Jul ,2008 Jun ,2008 May ,2008 Apr ,2008 Mar ,2008 Feb ,2008 Jan ,2007 Dec ,2007 Nov ,2007 Oct ,2007 Sep ,2007 Aug ,2007 Jul ,2007 Jun ,2007 May ,2007 Apr ,2007 Mar ,2007 Feb ,2007 Jan ,2006 Dec ,2006 Nov ,2006 Oct ,2006 Sep ,2006 Aug ,2006 Jul ,2006 Jun ,2006 May ,2006 Apr ,2006 Mar ,2006 Feb ,2006 Jan ,2005 Dec ,2005 Nov ,2005 Oct ,2005 Sep ,2005 Aug ,2005 Jul ,2005 Jun ,2005 May ,2005 Apr ,2005 Mar ,2005 Feb ,2005 Jan ,2004 Dec ,2004 Nov ,2004 Oct ,2004 Sep ,2004 Aug ,2004 Jul ,2004 Jun ,2004 May ,2004 Apr ,2004 Mar ,2004 Feb ,2004 Jan ,2003 Dec ,2003 Nov ,2003 Oct ,2003 Sep ,2003 Aug ,2003 Jul 
All Items,101.918,101.333,101.854,101.579,101.33,101.32,100.963,100.447,100.9,100.978,100.283,100.599,100.677,99.908,100.661,100.387,100.119,100.645,100.414,99.818,100.104,100.209,99.426,99.712,99.755,98.752,99.177,98.808,98.974,98.776,98.278,97.417,97.645,97.181,96.869,96.792,96.308,95.772,95.591,95.396,94.475,94.854,94.445,93.563,93.423,92.502,91.594,91.715,90.59,89.81,89.781,89.369,88.5,88.248,87.882,87.398,87.569,87.574,86.875,87.019,86.827,86.334,86.358,86.047,85.709,86.073,85.787,85.245,85.52,85.502,85.098,85.888,86.183,86.121,86.325,86.16,85.883,86.069,86.123,85.587,85.974,86.221,85.73,85.917,85.901,85.416,85.67,85.606,85.465,85.729,85.749,85.39,85.514,85.466,84.937,85.337,85.51,85.11,85.274,85.358,84.865,85.11,85.129,84.845,85.043,85.164,84.877,85.136,85.1,85.102,84.954,84.822,84.551,84.794,84.786,84.37,84.607,83.983,84.534,84.577,84.542,84.628,84.814,84.807,84.637,85.003,85.002,84.921,85.225,85.317,84.93,85.463,85.257,85.179,85.363,85.46,85.3,85.556,85.714,85.258,85.513,85.656,85.369,85.719,85.491,85.511,85.417,85.689,85.088,84.954,84.829,84.151,83.917,83.746,83.448,84.703,85.162,84.315,84.151,83.54,83.434,83.604,83.128,82.614,82.423,82.418,82.245,81.806,81.19,81.412,80.663,80.63,80.183,79.856,80.005,79.433,78.277,78.462,77.992,77.722,77.618,77.674,76.427,76.312,76.06,75.72,75.677,75.329,74.377,75.093,74.664,73.987,73.93,73.616,73.071,73.514,73.473,73.034,73.29,73.029,72.41,72.729,72.344,72.814,73.229,73.463,73.459,74.1,74.15,73.34,73.497,73.218,72.428,72.561,72.117,71,70.937,70.46,69.727,70.204,69.671,68.696,69.051,68.695,67.34,67.472,67.035,66.523,66.566,66.072,67.15,66.95,66.95,66.689,66.747,66.71,66.209,66.629,66.728,66.366,66.587,66.455,66.609,66.587,66.668,66.397,66.304,65.992,65.308,65.91,66.013,65.608,65.801,65.32,65.775,65.945,65.964,65.988,65.853,65.938,65.413,65.928,65.77,65.33,65.814,65.065,64.924,64.807,64.719,64.764,64.696,64.62
  Housing & Utilities,101.473,100.146,101.529,101.486,99.914,101.397,101.395,99.792,101.425,101.436,99.094,101.215,101.207,98.461,101.316,101.254,99.66,101.198,101.142,99.457,100.542,100.427,98.095,99.999,99.821,97.086,98.964,98.747,97.103,98.129,97.869,96.146,96.991,96.749,94.308,96.368,96.002,94.645,95.341,95.114,93.495,94.635,94.293,92.54,93.019,92.666,90.224,91.568,91.213,89.834,90.374,90.048,88.307,89.133,88.987,87.394,88.405,88.225,85.948,87.68,87.578,86.326,87.423,87.371,85.947,87.126,87.109,85.728,87.668,87.677,85.561,87.872,87.837,86.578,87.638,87.6,86.217,87.761,87.764,86.404,87.532,87.568,85.506,87.944,88.054,86.921,88.638,88.778,87.37,88.888,88.995,87.531,88.287,88.252,86.115,88.427,88.622,87.479,88.532,88.757,87.503,89.328,89.566,88.373,89.941,90.028,88.144,90.248,90.545,90.743,90.602,90.899,89.891,91.452,91.717,90.598,91.777,89.894,92.349,93.203,93.47,93.708,94.163,94.412,93.405,95.548,95.789,94.639,95.795,96.038,94.14,97.243,97.434,97.652,98.333,98.562,97.582,99.129,99.363,98.118,99.657,99.818,97.782,99.911,99.994,100.053,100.151,100.081,98.608,99.848,99.663,97.959,99.502,99.317,96.723,98.62,98.398,98.086,98.006,97.721,97.42,97.409,96.944,96.539,96.345,95.967,95.541,94.494,94.135,93.624,91.345,92.432,91.881,91.098,90.963,90.226,87.184,88.035,85.226,85.934,85.404,84.91,82.48,83.408,82.974,82.493,82.103,81.845,79.586,80.95,80.727,79.721,80.256,80.258,78.081,79.908,79.901,78.484,79.374,79.516,77.689,79.578,78.251,80.356,81.979,82.31,83.273,84.571,84.208,80.51,81.002,79.745,76.538,76.894,75.543,72.219,71.93,70.438,67.179,70.813,70.296,68.141,69.034,68.907,65.203,67.2,67.193,67.592,67.608,65.649,68.424,68.397,68.373,67.831,68.197,68.212,66.629,67.912,67.915,66.86,68.094,66.082,67.29,67.264,67.142,66.125,66.447,66.46,63.05,65.348,65.355,64.44,65.63,62.527,65.528,65.505,65.541,65.197,65.416,65.418,63.225,65.409,65.412,63.263,65.523,61.829,64.326,64.326,64.573,65.052,65.052,65.05
    Utilities & Other Fuels,97.88,97.939,99.344,99.42,99.51,99.409,99.447,99.492,100.552,100.597,100.675,98.221,98.283,98.313,99.78,99.807,99.837,101,100.993,100.996,100.541,100.498,100.406,98.894,98.686,98.561,95.964,95.958,95.953,94.565,94.426,94.471,94.073,94.133,93.695,95.444,94.932,94.774,94.82,94.661,94.46,95.15,95.057,95.227,91.843,91.809,91.71,88.089,87.651,87.857,84.898,84.623,83.397,81.836,81.77,81.848,80.762,80.807,80.809,78.563,78.619,78.619,79.514,79.607,79.5,77.104,77.137,77.135,81.709,81.778,82.048,83.822,83.961,83.931,83.134,83.256,83.396,85.018,85.299,85.676,83.839,84.282,84.924,87.423,88.329,88.721,89.977,90.381,91.022,89.991,89.965,89.81,83.29,83.29,83.251,81.955,81.981,81.818,79.115,79.115,79.115,79.874,79.829,79.845,78.373,78.373,78.354,75.84,75.802,75.463,72.645,72.645,72.516,72.771,72.746,72.632,69.221,69.221,69.381,73.309,73.321,73.48,75.323,75.249,75.36,79.838,79.865,79.725,76.436,76.461,76.782,82.005,81.98,82.434,86.157,86.157,86.347,87.216,87.228,87.247,87.347,87.265,87.25,87.174,87.235,87.297,88.553,88.017,87.933,87.382,87.284,87.241,88.802,88.802,88.893,88.096,88.119,88.201,90.269,90.319,90.341,91.984,91.573,91.725,93.159,93.395,93.401,91.14,90.852,90.522,89.196,89.196,88.806,89.451,89.451,89.066,85.517,85.604,85.518,82.327,82.327,82.338,80.618,80.549,80.686,82.335,82.335,82.335,81.144,81.065,81.065,79.623,79.623,79.522,76.995,76.897,76.291,71.26,71.1,70.813,68.202,68.225,68.273,78.521,78.521,80.042,95.855,95.855,96.157,84.922,84.742,84.485,81.969,81.861,81.861,79.228,79.183,78.839,76.209,76.468,75.886,73.725,73.737,73.542,68.907,68.966,68.966,71.091,71.117,71.168,74.645,74.644,74.637,73.678,73.825,74.007,72.632,72.899,72.899,73.935,73.935,73.721,70.885,70.885,70.396,67.833,67.753,67.753,63.45,63.45,63.45,64.761,64.761,64.761,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Electricity,92.358,92.453,94.457,94.577,94.719,94.579,94.64,94.711,96.246,96.316,96.439,96.493,96.591,96.635,98.869,98.912,98.959,100.65,100.64,100.643,100.434,100.366,100.221,100.28,100.065,99.958,96.82,96.81,96.814,94.66,94.393,94.294,93.707,93.81,93.046,96.006,95.203,94.923,95.239,94.962,94.613,95.456,95.296,95.388,90.042,89.982,89.812,83.958,83.4,83.762,80.524,80.048,77.923,75.467,75.353,75.488,73.782,73.86,73.903,70.374,70.477,70.548,72.158,72.321,72.335,68.536,68.593,68.668,76.274,76.434,76.7,79.721,79.963,80.133,78.534,78.747,78.989,81.314,81.801,82.454,79.401,80.169,81.282,85.301,86.872,87.551,89.762,90.473,91.77,89.957,89.957,89.957,84.235,84.235,84.235,81.996,81.996,81.996,77.198,77.198,77.198,78.797,78.797,78.797,81.356,81.356,81.356,76.807,76.807,76.807,72.755,72.755,72.755,73.288,73.288,73.288,67.246,67.246,67.246,74.177,74.177,74.177,77.375,77.375,77.375,85.231,85.231,85.231,79.366,79.366,79.366,88.571,88.571,88.571,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Gas,95.979,95.965,97.938,97.933,97.932,97.745,97.742,97.742,99.017,99.017,99.016,99.017,99.014,99.043,99.775,99.765,99.768,101.095,101.093,101.099,100.022,100.024,100.023,100.105,99.041,98.189,95.279,95.283,95.205,93.769,93.921,94.928,94.35,94.347,94.371,94.781,94.302,94.334,96.013,96.014,96.015,98.039,98.04,99.199,96.225,96.223,96.223,93.805,92.66,92.616,89.684,89.685,89.684,88.254,88.255,88.251,87.243,87.243,87.017,84.932,84.896,84.488,84.149,84.146,82.995,80.971,80.97,80.525,82.363,82.128,83.279,83.584,83.584,82.311,83.555,83.555,83.555,86.344,86.344,86.344,85.594,85.594,85.594,87.376,87.376,87.376,87.878,87.878,86.894,86.894,86.628,85.056,85.056,85.056,84.671,84.435,84.703,83.049,83.299,83.299,83.299,81.781,81.32,81.484,81.358,81.358,81.16,81.905,81.511,78.078,77.378,77.378,76.066,75.569,75.318,74.16,74.418,74.418,76.036,75.905,76.023,77.643,77.893,77.146,78.263,78.37,78.654,77.231,77.699,77.956,81.22,81.085,80.84,85.459,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transport,104.247,104.708,104.378,103.399,104.846,103.679,102.053,101.822,101.602,101.82,101.883,101.22,101.462,102.277,100.755,100.232,101.381,100.262,99.723,99.742,99.621,100.073,100.052,99.353,99.634,99.173,100.45,99.996,103.184,101.93,100.093,98.21,99.041,97.405,99.266,97.681,96.524,96.107,96.671,97.237,95.205,95.861,95.508,94.737,94.653,91.92,91.442,92.015,87.974,85.869,85.77,84.666,82.459,80.567,79.493,79.621,79.65,79.591,79.165,77.531,76.654,76.228,75.432,74.168,74.254,74.396,73.394,72.664,71.703,71.708,72.156,73.402,74.398,75.748,74.976,74.475,74.667,74.045,74.481,73.659,73.982,75.28,75.128,73.333,73.131,72.713,72.76,72.894,73.482,73.434,73.57,73.33,73.68,73.916,73.774,73.663,74.153,74.323,74.707,74.946,73.875,73.538,73.733,73.557,73.482,73.89,74.322,74.038,73.685,73.795,73.693,73.058,73.05,72.772,72.693,72.104,72.187,71.211,70.997,70.872,70.722,71.772,73.08,73.252,73.224,73.147,73.22,74.672,75.437,75.533,75.033,74.041,72.821,72.876,73.703,74.098,74.479,74.746,74.904,74.591,74.735,74.89,76.121,76.089,75.641,75.166,76.001,77.543,76.953,75.572,75.235,74.9,72.629,72.006,73.762,77.912,80.21,77.505,77.646,75.36,75.214,76.73,75.106,73.671,73.783,74.106,73.395,72.87,70.438,71.463,71.8,70.968,69.987,70.029,70.841,69.734,67.891,67.906,68.28,67.101,67.475,69.057,65.268,63.642,63.362,62.869,63.014,62.554,61.521,63.21,61.167,59.217,58.597,58.387,57.87,58.187,57.894,57.629,57.851,56.553,55.805,54.991,53.976,53.815,54.498,54.557,54.29,56.33,57.235,57.725,58.027,58.745,59.116,59.494,59.015,58.155,58.485,58.507,59.19,57.455,57.411,55.751,56.584,56.225,55.707,55.214,54.174,52.834,53.216,53.718,54.142,53.778,54.612,54.415,54.434,54.459,53.868,54.45,54.576,53.828,53.806,54.438,54.787,54.896,55.841,56.216,55.571,54.753,54.611,54.949,55.314,54.44,54.739,55.397,55.433,56.057,56.456,56.801,56.945,57.198,56.761,56.852,56.241,56.132,56.793,56.64,55.662,55.581,55.539,55.491,55.69,55.708
    Private Transport,103.09,104.246,103.488,103.788,105.786,104.506,102.449,102.382,101.46,101.702,101.669,100.741,100.688,101.528,99.842,100.315,101.904,100.734,100.035,100.245,99.513,100.579,100.324,98.659,99.074,98.777,100.746,101.31,105.641,103.985,101.572,98.976,99.895,97.951,100.162,98.193,96.458,94.979,95.967,97.269,94.579,95.83,95.511,94.477,94.385,91.332,90.715,90.393,86.045,83.132,83.117,82.98,80.613,78.336,76.968,77.301,77.43,77.076,76.658,74.387,73.404,72.903,71.985,70.381,70.557,70.701,69.443,68.646,67.389,67.34,67.931,69.418,70.45,71.574,71.155,71.281,71.483,70.805,71.117,70.135,70.46,72.222,71.871,69.594,68.795,68.411,68.85,69.498,70.362,70.305,70.421,70.186,70.429,70.927,70.653,70.544,70.839,71.477,71.465,72.106,70.762,70.368,70.567,70.347,70.152,70.868,71.206,70.951,70.393,70.322,69.668,69.286,69.256,68.9,68.777,67.987,68.114,66.828,66.539,66.367,65.71,67.55,68.511,69.167,69.283,69.137,69.497,71.083,72.185,72.331,71.625,70.537,68.395,68.776,69.272,70.382,70.911,71.407,71.571,71.159,71.311,71.592,73.127,73.501,72.598,72.374,73.138,75.004,74.348,72.736,72.321,71.934,69.217,68.483,70.578,75.54,78.248,75.059,75.227,72.546,72.385,74.202,72.246,70.54,70.666,71.064,70.216,69.606,66.709,67.929,68.823,68,66.873,66.999,67.955,66.648,64.437,64.458,64.91,63.548,63.994,65.91,61.384,59.466,59.186,58.592,58.78,58.232,57.03,59.068,56.639,54.307,53.569,53.26,52.686,53.137,52.802,52.487,52.762,51.185,50.288,49.317,48.091,47.443,48.226,48.28,47.976,50.397,51.442,52.092,52.442,53.314,53.83,54.298,53.741,52.727,53.123,53.149,53.994,53.099,53.067,50.98,52.104,51.632,50.947,50.295,48.922,47.143,47.649,48.316,48.924,48.454,49.567,49.499,49.52,49.865,49.685,50.464,50.648,49.653,49.624,50.469,50.982,51.133,52.395,52.892,52.026,50.926,51.008,51.46,51.948,50.774,51.212,52.096,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Motor Cars,105.922,107.804,106.798,106.819,111.316,108.516,104.821,103.673,102.345,103.517,102.752,101.393,100.02,102.42,99.705,99.925,102.754,101.093,100.238,99.52,99.703,101.17,100.043,97.987,98.75,99.112,102.192,102.499,108.391,105.738,102.774,99.804,101.392,98.94,101.354,98.773,96.24,94.504,96.302,97.475,93.748,95.358,94.689,92.603,90.752,87.68,87.841,87.268,82.941,79.586,80.12,79.671,76.576,73.677,71.646,71.577,72.215,71.765,71.444,68.238,67.927,68.185,67.254,65.235,65.525,65.775,63.971,62.855,61.521,61.512,61.575,62.025,62.426,63.793,63.384,63.61,64.035,63.101,63.688,62.301,62.928,65.029,64.702,61.715,60.999,60.424,60.895,60.992,60.989,61.462,62.294,61.575,62.372,63.243,63.155,63.441,63.979,65.087,66.054,67.034,65.194,64.695,65.692,65.303,65.009,66.271,66.603,65.891,64.983,65.888,65.031,66.084,66.118,66.3,66.735,66.939,66.97,65.078,64.85,64.489,63.801,66.304,67.577,68.121,67.729,68.24,68.504,68.853,70.594,71.297,71.215,69.535,68.229,70.188,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Motorcycles,95.188,98.46,95.427,97.755,102.607,100.387,99.564,101.901,98.454,97.907,102.625,100.996,96.578,95.563,94.202,97.733,102.609,103.022,101.264,98.499,98.473,100.62,103.61,101.383,99.001,99.586,100.359,105.758,108.82,107.614,111.13,104.854,107.891,91.5,114.636,115.189,113.557,108.697,112.576,118.11,114.753,110.18,107.841,106.998,102.753,99.098,102.938,107.259,103.798,101.172,99.291,98.6,97.482,98.667,97.591,94.223,94.265,93.295,91.489,90.195,88.668,88.911,89.356,87.05,87.606,87.49,88.701,86.167,70.46,70.46,70.46,70.416,70.132,69.679,66.585,68.135,67.161,67.078,70.103,64.155,62.605,63.89,65.138,65.47,66.267,63.801,65.755,59.26,67.791,69.531,76.372,83.952,87.997,89.303,89.017,92.283,93.866,92.199,86.316,79.395,74.944,77.808,72.223,81.026,81.933,81.839,88.414,91.429,83.451,79.513,79.76,80.866,81.406,82.188,80.942,80.208,81.139,81.145,82.563,82.876,82.14,83.629,82.345,79.757,79.962,80.644,79.442,80.864,80.997,81.208,81.137,75.216,75.477,69.378,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
      Bicycles,98.78,97.773,97.964,99.281,98.516,100.507,96.425,103.202,97.898,101.085,102.628,102.787,103.07,101.802,101.655,102.149,101.487,99.002,100.416,100.04,100.711,100.44,97.791,98.634,98.538,99.138,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
