Category: All categories

Month,COE: (Singapore)
2010-01,16
2010-02,17
2010-03,27
2010-04,37
2010-05,22
2010-06,18
2010-07,20
2010-08,19
2010-09,19
2010-10,15
2010-11,18
2010-12,39
2011-01,33
2011-02,35
2011-03,26
2011-04,23
2011-05,20
2011-06,23
2011-07,27
2011-08,26
2011-09,25
2011-10,25
2011-11,24
2011-12,19
2012-01,28
2012-02,28
2012-03,25
2012-04,33
2012-05,32
2012-06,23
2012-07,29
2012-08,34
2012-09,22
2012-10,22
2012-11,26
2012-12,22
2013-01,33
2013-02,35
2013-03,87
2013-04,41
2013-05,27
2013-06,24
2013-07,23
2013-08,23
2013-09,34
2013-10,26
2013-11,23
2013-12,19
2014-01,30
2014-02,33
2014-03,29
2014-04,38
2014-05,46
2014-06,31
2014-07,36
2014-08,27
2014-09,25
2014-10,30
2014-11,25
2014-12,23
2015-01,35
2015-02,46
2015-03,47
2015-04,50
2015-05,41
2015-06,40
2015-07,70
2015-08,53
2015-09,47
2015-10,43
2015-11,37
2015-12,41
2016-01,70
2016-02,91
2016-03,64
2016-04,60
2016-05,55
2016-06,62
2016-07,49
2016-08,35
2016-09,40
2016-10,39
2016-11,38
2016-12,43
2017-01,39
2017-02,69
2017-03,45
2017-04,49
2017-05,48
2017-06,50
2017-07,51
2017-08,43
2017-09,64
2017-10,44
2017-11,48
2017-12,42
2018-01,50
2018-02,52
2018-03,53
2018-04,50
2018-05,41
2018-06,44
2018-07,73
2018-08,53
2018-09,49
2018-10,53
2018-11,53
2018-12,52
2019-01,56
2019-02,47
2019-03,41
2019-04,48
2019-05,50
2019-06,41
2019-07,40
2019-08,39
2019-09,34
2019-10,33
2019-11,30
2019-12,28
2020-01,31
2020-02,41
2020-03,44
2020-04,24
2020-05,22
2020-06,30
2020-07,68
2020-08,42
2020-09,39
2020-10,33
2020-11,31
2020-12,33
2021-01,35
2021-02,36
2021-03,35
2021-04,48
2021-05,36
2021-06,40
2021-07,36
2021-08,34
2021-09,35
2021-10,45
2021-11,32
2021-12,33
2022-01,41
2022-02,49
2022-03,48
2022-04,49
2022-05,40
2022-06,55
2022-07,48
2022-08,40
2022-09,40
2022-10,43
2022-11,42
2022-12,37
2023-01,46
2023-02,49
2023-03,41
2023-04,49
2023-05,87
2023-06,50
2023-07,43
2023-08,50
2023-09,53
2023-10,53
2023-11,71
2023-12,57
2024-01,100
2024-02,65
2024-03,57
2024-04,54
2024-05,51
2024-06,52
2024-07,50
2024-08,46
2024-09,46
2024-10,50
2024-11,47
2024-12,48
2025-01,60
2025-02,63
2025-03,55
2025-04,60
2025-05,51
2025-06,58
2025-07,57
2025-08,56
2025-09,62
2025-10,60
2025-11,63
2025-12,54
2026-01,59
2026-02,64
2026-03,58
