,month,Total Motor Vehicles De-Registered,Category A: Cars,Category B: Cars,Weekend Cars/Off Peak Cars,Category C: Goods Vehicles & Buses,Category D: Motorcycles & Scooters,Taxis,Vehicles Exempted From VQS
0,1990-05-01,2621,1308,157,,354,464.0,262,76
1,1990-06-01,2345,1044,174,,347,494.0,150,136
2,1990-07-01,2286,944,205,,336,560.0,134,107
3,1990-08-01,2571,1034,211,,313,784.0,145,84
4,1990-09-01,2253,898,207,,335,535.0,152,126
5,1990-10-01,2687,1139,161,,292,770.0,243,82
6,1990-11-01,3198,1822,164,,356,507.0,224,125
7,1990-12-01,2994,1599,191,,315,569.0,174,146
8,1991-01-01,2803,1550,208,,361,424.0,152,108
9,1991-02-01,2080,935,142,,281,509.0,130,83
10,1991-03-01,2898,1428,239,,354,642.0,149,86
11,1991-04-01,2737,1121,198,,391,727.0,144,156
12,1991-05-01,2597,1050,160,,359,645.0,288,95
13,1991-06-01,2623,1054,159,,349,825.0,142,94
14,1991-07-01,3026,1262,227,,455,801.0,143,138
15,1991-08-01,2424,858,168,2.0,305,881.0,119,91
16,1991-09-01,2620,1178,143,2.0,385,670.0,159,83
17,1991-10-01,3393,1546,211,1.0,468,859.0,215,93
18,1991-11-01,2689,1108,155,10.0,421,726.0,142,127
19,1991-12-01,2837,1380,196,7.0,327,679.0,98,150
20,1992-01-01,3234,1431,214,10.0,414,934.0,106,125
21,1992-02-01,3022,1323,198,12.0,327,880.0,198,84
22,1992-03-01,4511,1939,355,20.0,538,1443.0,136,80
23,1992-04-01,16545,6668,1564,225.0,2621,5352.0,47,68
24,1992-05-01,6049,2729,596,109.0,802,1609.0,150,54
25,1992-06-01,2209,1265,139,9.0,265,371.0,82,78
26,1992-07-01,2482,1534,187,10.0,278,255.0,122,96
27,1992-08-01,2345,1380,164,5.0,287,262.0,192,55
28,1992-09-01,2301,1293,199,5.0,308,363.0,84,49
29,1992-10-01,2275,1261,178,4.0,274,346.0,91,121
30,1992-11-01,2867,1549,162,10.0,270,347.0,76,453
31,1992-12-01,2811,1665,229,8.0,344,308.0,88,169
32,1993-01-01,2050,1172,184,9.0,256,308.0,37,84
33,1993-02-01,2853,1802,322,17.0,307,260.0,77,68
34,1993-03-01,3123,1902,324,9.0,340,370.0,91,87
35,1993-04-01,2934,1668,311,16.0,329,349.0,123,138
36,1993-05-01,2782,1663,263,8.0,278,394.0,124,52
37,1993-06-01,3028,1653,331,14.0,356,426.0,156,92
38,1993-07-01,2854,1576,290,10.0,332,374.0,216,56
39,1993-08-01,2285,1260,247,6.0,323,280.0,117,52
40,1993-09-01,2497,1345,237,16.0,351,340.0,169,39
41,1993-10-01,2516,1142,234,6.0,349,425.0,243,117
42,1993-11-01,2478,1205,223,6.0,415,387.0,170,72
