month,Total New Motor Vehicles Registered,Category A: Cars,Category B: Cars,Category C: Goods Vehicles & Buses,Category D: Motorcycles & Scooters,Taxis,Vehicles Exempted From VQS
1990-05-01,3731,1365,213,720,963,355,115
1990-06-01,3716,1442,477,563,696,408,130
1990-07-01,2820,972,414,309,634,382,109
1990-08-01,4108,1361,570,776,818,376,207
1990-09-01,3780,1259,517,739,718,424,123
1990-10-01,5365,1806,983,1051,943,465,117
1990-11-01,3644,1372,312,728,832,133,267
1990-12-01,4963,2125,819,817,795,201,206
1991-01-01,4149,1582,610,567,958,258,174
1991-02-01,4157,1677,761,612,831,177,99
1991-03-01,4409,1839,486,889,888,156,151
1991-04-01,4639,1953,657,894,788,208,139
1991-05-01,3933,1660,577,632,606,214,139
1991-06-01,4248,1343,558,650,1095,252,195
1991-07-01,4035,1577,519,612,615,253,222
1991-08-01,3885,1588,644,504,496,182,209
1991-09-01,3909,1195,613,411,1113,148,205
1991-10-01,4335,2102,742,507,269,136,208
1991-11-01,4155,1923,849,592,223,123,191
1991-12-01,3751,1434,576,589,285,239,347
1992-01-01,4974,2017,1119,759,326,248,214
1992-02-01,3188,1298,520,451,295,218,149
1992-03-01,4724,1401,772,904,947,195,239
1992-04-01,4055,1394,887,646,558,188,136
1992-05-01,4104,1775,688,686,457,152,130
1992-06-01,4656,1690,1051,667,614,218,146
1992-07-01,3933,1429,637,681,617,175,140
1992-08-01,3928,1576,613,653,637,135,84
1992-09-01,4037,1547,793,562,623,135,112
1992-10-01,3427,1322,658,489,551,73,134
1992-11-01,3538,1457,546,449,453,254,152
1992-12-01,4090,1796,494,760,426,122,231
1993-01-01,6021,2983,1206,746,591,90,127
1993-02-01,4352,1859,762,763,547,86,117
1993-03-01,5652,2677,874,863,730,127,129
1993-04-01,4646,1778,1064,704,642,108,160
1993-05-01,4548,1935,1000,392,642,159,151
1993-06-01,5328,2351,1106,573,718,211,145
1993-07-01,5383,2390,1106,786,574,153,108
1993-08-01,4977,2028,952,804,591,179,180
1993-09-01,4750,1956,910,583,739,195,119
1993-10-01,4339,1787,727,601,638,227,153
1993-11-01,4648,1608,1003,617,600,431,188
1993-12-01,4476,1421,1318,403,679,124,246
1994-01-01,5563,1935,1590,503,947,137,154
1994-02-01,3761,1111,921,411,899,113,117
1994-03-01,6875,2549,1325,1015,1241,211,166
1994-04-01,3912,1432,755,376,911,47,178
1994-05-01,4842,1763,919,705,953,104,175
1994-06-01,4555,1623,1036,624,676,160,185
1994-07-01,4667,1591,1067,573,847,128,201
1994-08-01,4023,1429,807,686,529,193,109
1994-09-01,4333,1663,924,543,805,103,124
1994-10-01,4159,1652,696,472,830,290,128
1994-11-01,4163,1615,949,533,670,186,163
1994-12-01,3937,1486,793,327,936,130,205
1995-01-01,5639,2399,1339,462,1016,186,191
1995-02-01,3722,1635,697,818,414,22,101
